Term,Row,number,A,B,C,
L2,0,52919,0,0,,
,1,8720,1.0721,6283.0758,,
,2,309,0.867,12566.152,,
,3,27,0.05,3.52,,
,4,16,5.19,26.3,,
,5,16,3.68,155.42,,
,6,10,0.76,18849.23,,
,7,9,2.06,77713.77,,
,8,7,0.83,775.52,,
,9,5,4.66,1577.34,,
,10,4,1.03,7.11,,
,11,4,3.44,5573.14,,
,12,3,5.14,796.3,,
,13,3,6.05,5507.55,,
,14,3,1.19,242.73,,
,15,3,6.12,529.69,,
,16,3,0.31,398.15,,
,17,3,2.28,553.57,,
,18,2,4.38,5223.69,,
,19,2,3.75,0.98,,
L3,0,289,5.844,6283.076,,
,1,35,0,0,,
,2,17,5.49,12566.15,,
,3,3,5.2,155.42,,
,4,1,4.72,3.52,,
,5,1,5.3,18849.23,,
,6,1,5.97,242.73,,
L4,0,114,3.142,0,,
,1,8,4.13,6283.08,,
,2,1,3.84,12566.15,,
L5,0,1,3.14,0,,
B0,0,280,3.199,84334.662,,
,1,102,5.422,5507.553,,
,2,80,3.88,5223.69,,
,3,44,3.7,2352.87,,
,4,32,4,1577.34,,
B1,0,9,3.9,5507.55,,
,1,6,1.73,5223.69,,
R0,0,100013989,0,0,,
,1,1670700,3.0984635,6283.07585,,
,2,13956,3.05525,12566.1517,,
,3,3084,5.1985,77713.7715,,
,4,1628,1.1739,5753.3849,,
,5,1576,2.8469,7860.4194,,
,6,925,5.453,11506.77,,
,7,542,4.564,3930.21,,
,8,472,3.661,5884.927,,
,9,346,0.964,5507.553,,
,10,329,5.9,5223.694,,
,11,307,0.299,5573.143,,
,12,243,4.273,11790.629,,
,13,212,5.847,1577.344,,
,14,186,5.022,10977.079,,
,15,175,3.012,18849.228,,
,16,110,5.055,5486.778,,
,17,98,0.89,6069.78,,
,18,86,5.69,15720.84,,
,19,86,1.27,161000.69,,
,20,85,0.27,17260.15,,
,21,63,0.92,529.69,,
,22,57,2.01,83996.85,,
,23,56,5.24,71430.7,,
,24,49,3.25,2544.31,,
,25,47,2.58,775.52,,
,26,45,5.54,9437.76,,
,27,43,6.01,6275.96,,
,28,39,5.36,4694,,
,29,38,2.39,8827.39,,
,30,37,0.83,19651.05,,
,31,37,4.9,12139.55,,
,32,36,1.67,12036.46,,
,33,35,1.84,2942.46,,
,34,33,0.24,7084.9,,
,35,32,0.18,5088.63,,
,36,32,1.78,398.15,,
,37,28,1.21,6286.6,,
,38,28,1.9,6279.55,,
,39,26,4.59,10447.39,,
R1,0,103019,1.10749,6283.07585,,
,1,1721,1.0644,12566.1517,,
,2,702,3.142,0,,
,3,32,1.02,18849.23,,
,4,31,2.84,5507.55,,
,5,25,1.32,5223.69,,
,6,18,1.42,1577.34,,
,7,10,5.91,10977.08,,
,8,9,1.42,6275.96,,
,9,9,0.27,5486.78,,
R2,0,4359,5.7846,6283.0758,,
,1,124,5.579,12566.152,,
,2,12,3.14,0,,
,3,9,3.63,77713.77,,
,4,6,1.87,5573.14,,
,5,3,5.47,18849,,
R3,0,145,4.273,6283.076,,
,1,7,3.92,12566.15,,
R4,0,4,2.56,6283.08,,
